1+2,1,1,2,1,50,Furnizimi me pjese per mirembajtjen e ngrohjes ne shkollat dhe I.Parashko,04.02.10,"100,000.00",0,,Install Engen,Prishtinë,1,2,1
1+2,2,5,1,1,45,Ndertimi i bibliotekes se qytetit,29.07.10,"1,700,000.00","1,502,443.20",,Bedi nderton,Podujevë,1,1,2
1+2,3,2,2,1,60,Transporti I nxenesve dhe arsimtareve,08.03.10,"90,000.00",0,,,Prishtinë,1,1,1
1+2,5,1,2,1,36,Furnizimi me xhama per shkollat dhe I. Parashkollore,24.05.10,"18,000.00","14,611.00",,Olti Trasing,Prishtinë,1,2,1
1+2,6,1,2,1,36,Furnizimi me perde per objektin e ri komunal,12.04.10,"20,000.00","15,919.80",,Metali,Pozhoran,1,1,1
1+2,7,5,2,1,45,Punet perfundimtare per pjesen afariste Bregu i Diellit,30.03.10,"40,000.00","38,897.10",,Arian Comer,Prishtinë,1,1,1
1+2,8,5,2,1,45,Ndriçimi dhe zerimi I teatrit Dodona,12.05.10,"30,000.00","23,770.35",,Olti Trasing,Prishtinë,1,2,1
1+3,9,5,1,1,45,"Ndertimi I aneksit te shkolles ""Naim Frasheri""",24.03.10,"500,000.00","499,261.94",,Izolimi,Podujevë,1,2,2
1+3,10,5,2,1,45,"Ndertimi I aneksit te shkolles ""Gjergj Fishta""",25.03.10,"300,000.00","234,138.16",,Bedi nderton,Podujevë,1,1,1
1+3,11,5,2,1,45,"Ndertimi I aneksit te shkolles ""Hilmi Rakovica""",12.04.10,"350,000.00","322,840.78",,Olti Trasing,Prishtinë,1,1,1
1+3,12,5,2,1,45,"Ndertimi I aneksit te shkolles ""Dardania""",31.03.10,"250,000.00","200,223.37",,Nente Vllez,Prishtinë,1,1,1
1+2,13,5,2,5,45,Mirembajtja e gjelbrimit,04.03.10,"280,000.00",,"280,000.00",Hortikultura,Prishtinë,1,1,1
1+2,14,5,2,5,45,"Punet shtese ne ndertimin e gjimnazit ""Gjevdet Doda""",,"148,269.69",,"148,269.69",Krapi com,Prishtinë,1,1,1
1+2,15,2,3,6,92,Organizimi I manifestimit per dy vjetorin e Pavaresise,16.02.10,"8,000.00","6,900.00",,Art Sound,Gjakovë,1,1,1
1+2,16,1,3,6,36,Furnizimi me kalorifer per brigaden e zjarrefiksave,22.03.10,"2,000.00","2,050.00",,Ital ferr,Lipjan,1,1,1
1+2,17,1,2,1,36,Furnizimi me tepisona per I.parshkollore,29.12.10,"28,000.00","24,018.30",,Olti Trasing,Prishtinë,1,1,1
1+2,18,5,1,1,45,"Rindertimi dhe zgjerimi I rruges ""Bill Kllinton""",07.04.10,"1,800,000.00","1,621,497.79",,Alko Impex,Prishtinë,1,2,2
1+2,20,1,2,1,30,furnizimi me komjuter per komune,20.04.10,"60,000.00","53,000.00",,Art Compjut,Prishtinë,1,2,1
1+2,21,2,2,1,74,hartimi I projektit zbatues per ndertimi e kolektoreve atmosferikdhe fekal,13.04.10,"20,000.00","18,080.00",,Infratek,Prishtinë,1,2,2
1+2,22,2,2,1,74,"Hart.i proj. zbatues per rruges, ures , kanal.prej varrezave deri ne Shkabaj",23.04.10,"50,000.00","3,460.00",,Vizion Proje,Prishtinë,1,2,2
1+2,23,1,3,6,36,Furnizimi me kryp industrial për mirembajtjen e rrugeve te qytetit,05.03.10,"3,500.00","3,150.00",,Zahiri,Prishtinë,1,1,1
1+2,24,1,3,6,30,Furnizimi me printer per nevojat e komunes,28.04.10,"10,000.00","9,068.00",,Botek,Prishtinë,1,1,1
1+2,25,2,2,1,74,"Hartimi I projektit zbatues per rruget Vranidoll, Gjergj Balsha, Avdyl Rama",23.04.10,"10,000.00","8,410.00",,Vizion Proje,Prishtinë,1,2,2
1+2,26,1,1,1,23,Furnizimi me naft per nevojat e Komunes,01.09.10,"150,000.00",0,,Petrol Oti,Prishtinë,1,1,1
1+2,27,5,2,1,45,Riparimi I gropave ne qytet,31.03.10,"150,000.00","136,727.00",,ABC,Podujevë,1,1,1
1+2,28,5,2,1,45,Rregullimi I sporteleve ne objektin e ri Komunal,12.05.10,"9,000.00","7,509.80",,Polluzha - M,Drenas,1,2,1
1+2,30,5,2,1,45,Rrenimi I objekteve te ndertuara pa leje,07.04.10,"50,000.00",0,,Alko Impex,Prishtinë,1,2,1
1+2,31,1,2,1,1,Furnizimi me serra,20.04.10,"45,000.00","39,365.00",,Elen,Vushtrri,1,2,1
1+2,32,2,3,6,77,Vaksionimi I gjedheve dhe qeneve,29.03.10,"10,000.00","9,800.00",,Spana,F.Kosovë,1,1,1
1+2,33,5,2,1,45,Pastrimi dhe larja e rrugeve e trotuareve - pjesa e I-re,02.04.10,"90,000.00","83,743.92",,Toifor,Prishtinë,1,2,1
1+2,33,5,2,1,45,Pastrimi dhe larja e rrugeve e trotuareve - pjesa e II-te,02.04.10,"90,000.00","90,279.84",,Pastrimi,Prishtinë,1,2,1
1+2,33,5,2,1,45,Pastrimi dhe larja e rrugeve e trotuareve - pjesa e III-te,02.04.10,"90,000.00","68,567.68",,Toifor,Prishtinë,1,2,1
1+2,34,5,2,1,45,Grumbullimi dhe bartja e mbeturinave te ngurta,12.04.10,"20,000.00","18,000.00",,Dardania,Prishtinë,1,2,1
1+2,35,2,2,1,74,Hartimi I projektit kryesor per prroin Vellusha dhe rruga Tomori,23.04.10,"15,000.00","13,685.00",,Alfa I,Prishtinë,1,1,2
1+2,36,2,2,1,74,Hartimi I projektit kryesor per rrugen dhe platon rreth stadionit Prishtina,23.04.10,"5,000.00","4,597.00",,Projekt Plus,Prishtinë,1,2,2
1+2,37,2,3,6,80,Sherbimet e perkthimit per nevojat e Komunes,13.04.10,"10,000.00",0,,Euro Transl,Prishtinë,1,1,1
1+2,38,5,2,5,45,Punet shtese ne ndertimin e rreth rrotullimit dhe udhekryqit ne lagjen Arberi,20.05.10,"97,177.00",,"97,177.00",Noti,Prishtinë,1,1,1
1+2,39,5,2,1,45,"Rindertimi I rruges ""Kadri Zeka""",25.05.10,"250,000.00","242,731.91",,ABC,Podujevë,1,1,1
1+2,40,5,2,1,45,Asfaltimi I rruges ne Trudë,25.05.10,"200,000.00","151,265.92",,Alko Impex,Prishtinë,1,1,1
1+2,41,5,2,1,45,Ndertimi I kanalizimit ne Barilevë,26.04.10,"200,000.00","157,330.36",,ABC,Podujevë,1,1,1
1+2,42,5,2,1,45,"Rindertimi I rrugeve ""Demë Ahmeti"" dhe ""Ali Pash Gucia""",29.04.10,"150,000.00","130,637.25",,Euro Garten,Lipjan,1,1,1
1+2,43,5,2,1,45,Ndertimimi I rruges Bardhosh Milevc - faza e II-te,28.04.10,"70,000.00","62,683.67",,Gashi Ing,Suharekë,1,1,1
1+2,45,5,2,1,45,"Rindertimi I rruges ""Malush Kosova"" - faza e II-te",28.04.10,"200,000.00","184,026.65",,ABC,Podujevë,1,1,1
1+2,46,5,2,1,45,"Rindertimi I rruges ""Hilmi Rakovica""",12.05.10,"170,000.00","155,181.97",,Euro Garten,Lipjan,1,1,1
1+2,47,5,2,1,45,"Rindertimi I rruges ""Ulqini""",28.04.10,"120,000.00","107,112.50",,Euro Garten,Lipjan,1,1,1
1+2,48,5,2,1,45,Asfaltimi I rruges ne lagjen Verbovc (Barileve),27.04.10,"210,000.00","202,594.21",,Nente Vvllez,Prishtinë,1,1,1
1+2,49,5,2,1,45,"Rindertimi I rruges ""Vlora""",12.05.10,"110,000.00","106,021.46",,ABC,Podujevë,1,1,1
1+2,50,5,1,1,45,Rindertimi I rruges ne Vranidoll - lagja Serovc,09.06.10,"450,000.00","418,282.12",,Strasen Tief,Ferizaj,1,1,2
1+2,51,2,3,6,93,Sherbimet per kontrollimin teknik te automjeteve,25.05.10,"10,000.00","10,000.00",,Reforma,Prishtinë,1,1,1
1+2,52,5,1,1,45,"Ndertimi I rrugeve lokale ne mes rruges ""Tirana"" dhe ""A.Krasniqi""",08.06.10,"825,000.00","820,023.91",,Nente Vvllez,Prishtinë,1,1,2
1+2,53,1,3,6,50,"Rregullimi I ujesjellesit ne shkollen fillore ""Emin Duraku""",25.05.10,"3,500.00","2,662.50",,Raketa,Prishtinë,1,1,1
1+2,54,2,2,1,74,"Hartimi I projektit kryesor per rrugen ""V. Fazliu""",30.06.10,"50,000.00","30,900.00",,Smart Proje,Prishtinë,1,1,2
1+2,55,1,3,6,29,Furnizimi me telefona mobil per nevojat e Komunes,21.04.10,"8,000.00","5,200.00",,Pri-mob,Prishtinë,1,1,1
1+2,56,5,2,1,45,Ndertimi I rruges prej magjistrales Prishtinë-Gjilan deri te lagja e Byqmeteve,25.05.10,"250,000.00","242,731.91",,ABC,Podujevë,1,1,1
