Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,1+2,86,5,2,1,45,Nderimi I rruges ne lagjen e Duleviteve,,,,,,,,,,,,,,,,,,"232,693.11",1,1,1,,,Euro famis,15.04.16,,,"219,999.80",,,,,,,
,1+2,141,5,2,1,45,Riparimi dhe mirembajtja e Ashensorev,,,,,,,,,,,,,,,,,,"150,000.00",1,1,1,,,Rima enginiering,22.01.16,,,"120,584.43",,,,,,,
,1+2,163,5,1,1,45,Ndert. I Kolektorit Betonarme dhe Kan. fekal ne rrugen mbi lumin Prishtine,,,,,,,,,,,,,,,,,,"4,270,702.86",1,1,1,,,Noti Beton,09.08.16,,,"2,192,854.60",,,,,,,
,1+2,213,5,2,1,45,Rikonstruimi dhe zgjerimi I ndriçimit publik viti 2015 - faza e II-te,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,risa mont &boch,15.07.16,,,"188,678.36",,,,,,,
,1+2,221,5,2,1,45,Ndertimi I inf. Në rrugen Sali Matoshi dhe ndrtimi I rrugve ne Grashticë,,,,,,,,,,,,,,,,,,"129,187.39",1,1,1,,,Co Ing,14.04.16,,,"72,186.47",,,,,,,
,1,227,1,3,6,36,Furnizimi me material shpenzues dhe paisje per zyre,,,,,,,,,,,,,,,,,,,1,1,1,,,Euro Print,15.02.16,,,,,,,,,,
,1+2,228,5,2,1,45,Ndertimi I dy kendeve te lodrave,,,,,,,,,,,,,,,,,,"50,000.00",1,1,1,,,AR ING&Kema,15.04.16,,,"37,604.01",,,,,,,
,1+2,236,5,1,1,45,"Urat - Unaza Qendrore , pjesa Perendimore- Prishtine",,,,,,,,,,,,,,,,,,"3,250,000.00",1,2,1,,,Rexha shpk,29.07.16,,,"1,969,163.08",,,,,,,
,1+2,243,5,1,1,45,"Rrenimi, largimi i objekteve,paisjeve,transportimi i tyre ne vendin adekuat dhe intervenimet emergjente",,,,,,,,,,,,,,,,,,"250,000.00",n/a,,,,,Murseli company,25.04.16,,,,,,,,,,
,1,250,1,2,1,36,Furnizimi me material ndertimor per Bulevardin mbi Kurriz,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,Techno Ing Consulting,14.04.16,,,"61,850.40",,,,,,,
,1,252,1,2,1,36,Furnizimi  dhe vendosja e ashensorit  te jashtem ne objektin e vjeter te Kom.,,,,,,,,,,,,,,,,,,"55,000.00",1,1,1,,,Hymeri Kleman ,29.09.15,,,"52,838.00",,,,,,,
,1+2,261,5,2,1,45,"Ndertimi  I kraheve te  rrugeve  Vellezrit  Fazliu,Rugova dhe  Vlora",,,,,,,,,,,,,,,,,,"496,180.84",1,1,1,,,Gashi Ing,15.04.16,,,"288,755.50",,,,,,,
,1,262,1,2,1,36,Furnizimi me kontejner 1.1m3 dhe shporta 240 litra,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Euro Eko kos ,22.03.16,,,"94,119.00",,,,,,,
,1+2,263,5,2,1,45,"Ndertimi I rrugëve në fshatin Dabishevc,lagja Dulaj",,,,,,,,,,,,,,,,,,"226,009.38",1,1,1,,,Gashi Ing,15.04.16,,,"150,911.70",,,,,,,
,1,265,2,2,1,60,Transporti I nxensve dhe arsimtareve ne viset rurale pjesa IV,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,KOBRA,28.12.16,,,"10,125.00",,,,,,,
,1+2,268,5,2,1,45,Riparimi dhe renovimi I objekteve te brigades profesionale te Zjarrfikeseve,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Area,15.04.16,,,"64,558.02",,,,,,,
,1+2,269,5,2,1,45,"Punimi,furnizimi  dhe vendosja e shenjave  te adresave  ne Komunen e Pri",,,,,,,,,,,,,,,,,,"250,000.00",1,1,1,,,Sinjal ,15.04.16,,,"143,538.05",,,,,,,
,1+2,273,5,2,1,45,Renovime ne disa qendra dhe ambulanta mjekesore ne Prishtine,,,,,,,,,,,,,,,,,,"50,000.00",1,1,1,,,Tribuna ,08.03.16,,,"34,320.00",,,,,,,
,1+2,276,5,2,1,45,Ndërtimi I rrjetit te ujësjellsit në fshatin Slivovë,,,,,,,,,,,,,,,,,,"29,922.00",1,1,1,,,A&Ring&Kema com,30.03.16,,,"16,999.00",,,,,,,
