Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,1,284,2,1,1,93,Pastrimi I objektit te komunes ,,,,,,,,,,,,,,,,,,"165,000.00",1,1,1,,,Uni Projekt ,30.05.16,,,,,,,,,,
,1,285,5,3,6,45,Stabilizimi i terenit ne rrugen Mithat Frasheri,,,,,,,,,,,,,,,,,,"6,050.00",1,1,1,,,Ndertimi,21.04.16,,,"6,050.00",,,,,,,
,1,286,5,3,6,45,Furnizimi dhe montimi I dyereve te drurit te dhomave te mesimit ne objektin.,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Krapi com ,15.04.16,,,"7,270.00",,,,,,,
,1,288,2,3,6,93,"Servisimi, pastrimi I filtrave dhe mirembajtja e kondicionereve ne komunen e re ",,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Raketa ,16.02.16,,,"9,665.00",,,,,,,
,1,1,5,2,1,45,Sinjalizimi horizontal dhe vertikal I rrugeve ne K. e Prishtines - pjesa e I-rë,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Sinjal,14.04.16,,,"45,980.00",,,,,,,
,1,1,5,2,1,45,Sinjalizimi horizontal dhe vertikal I rrugeve ne K. e Prishtines - pjesa e II-të,,,,,,,,,,,,,,,,,,,1,1,1,,,RSM,13.04.16,,,"22,418.60",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines-llot I,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Agron Osmani,01.03.16,,,"6,840.00",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Bedri Osmani,01.03.16,,,"13,050.00",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Edona,01.03.16,,,"8,190.00",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Drini,01.03.16,,,"8,280.00",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Bajrush Kamberi,01.03.16,,,"7,200.00",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Hani Trans,01.03.16,,,"11,700.00",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Loni G,01.03.16,,,"6,400.00",,,,,,,
,1,2,2,2,1,60,Transporti I nxeneseve dhe arsimtareve ne fshatrat e  Prishtines,,,,,,,,,,,,,,,,,,"52,400.00",1,1,1,,,Besart Comerce,01.03.16,,,"8,190.00",,,,,,,
,1,3,1,1,1,36,Furnizimi me shujta për nxënësit e klasëve te ulta (I-V) te Komunes,,,,,,,,,,,,,,,,,,"1,500,000.00",1,1,1,,,Premium bakerY,21.05.16,,,"99,290.00",,,,,,,
,1,3,1,1,1,36,Furnizimi me shujta për nxënësit e klasëve te ulta (I-V) te Komunes,,,,,,,,,,,,,,,,,,"1,500,000.00",1,1,1,,,Premium bakerY,21.05.17,,,"98,865.00",,,,,,,
,1,3,1,1,1,36,Furnizimi me shujta për nxënësit e klasëve te ulta (I-V) te Komunes,,,,,,,,,,,,,,,,,,"1,500,000.00",1,1,1,,,Premium bakerY,21.05.18,,,"98,439.12",,,,,,,
,1,3,1,1,1,36,Furnizimi me shujta për nxënësit e klasëve te ulta (I-V) te Komunes,,,,,,,,,,,,,,,,,,"1,500,000.00",1,1,1,,,Premium bakerY,21.05.19,,,"98,317.44",,,,,,,
,1,4,2,3,6,34,Furnizim me dy automjete për bartjen e ushqimit për çerdhe,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Auto Salloni Erini,24.02.16,,,"9,900.00",,,,,,,
,1,5,2,3,6,93,Sherbime per promovimin e Qendres për këshillim në Karrjerë,,,,,,,,,,,,,,,,,,"9,000.00",1,1,1,,,NTG BLENDI,16.02.16,,,"2,375.00",,,,,,,
,1,6,5,2,1,45,Rregullimi I oborrit te shkolles fillore Ismail Qemajli ,,,,,,,,,,,,,,,,,,"250,000.00",1,1,1,,,Wiena &Shkembi,18.03.16,,,"178,704.48",,,,,,,
,1,7,2,3,6,36,Servisimi  dhe mirembajtja e gjeneratoreve ne shkolla ,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Fidea,15.02.16,,,"9,667.30",,,,,,,
,1,8,2,3,6,93,Kontrollimi teknik i automjeteve,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Reforma,16.02.16,,,"10,000.00",,,,,,,
,1,9,5,3,6,45,Furnizimi dhe montimi i dyereve dhe dritareve ne Objektin e Vjeter te Komunes,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Krapi COM,29.03.16,,,"8,580.99",,,,,,,
,1,11,5,2,1,45,Ndërtimi i këndeve të lojrave në lagjen Kalabri dhe Kodrën e Trimave llot I,,,,,,,,,,,,,,,,,,"95,000.00",1,1,1,,,Daqa,13.04.16,,,"49,852.56",,,,,,,
,1,11,5,2,1,45,Ndërtimi i këndeve të lojrave në lagjen Kalabri dhe Kodrën e Trimave llot II,,,,,,,,,,,,,,,,,,"95,000.00",1,1,1,,,Bereqeti&Kema,14.04.16,,,"42,990.87",,,,,,,
,1,12,2,1,1,74,Hartimi I projekteve te infrastruktures rrugore ne Prishtine,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,3 D projekt ,26.04.16,,,,,,,,,,
,1,13,1,2,1,36,Furnizim me material didaktik per shkolla,,,,,,,,,,,,,,,,,,"40,000.00",1,1,1,,,Grafo Loni,04.04.16,,,"92,987.70",,,,,,,
,1,15,1,2,1,36,Furnizimi  me  paisje  per Kuzhinen  qendrore  te qerdheve,,,,,,,,,,,,,,,,,,"25,000.00",1,1,1,,,Osa termosistem,15.07.16,,,"22,999.00",,,,,,,
,1,16,1,1,1,36,Furnizimi i Institucioneve arsimore me material higjenik ,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,EL SHPETIMI,04.04.16,,,"38,325.95",,,,,,,
,1,17,1,1,1,34,Furnizimi me automjete te udhtarëve përmes Lizingut ,,,,,,,,,,,,,,,,,,"150,000.00",1,1,1,,,Automita,14.04.16,,,"137,376.00",,,,,NaN,,
,1,18,2,2,1,90,"Pergatitja dhe  zhvillimi I fushates se vetedijesimit, ne fushen e ndarjes se mbeturinave ne burim",,,,,,,,,,,,,,,,,,"50,000.00",1,1,2,,,Eko vision,21.12.16,,,"34,839.33",,,,,,,
,1,19,1,2,5,32,Vendosja e kamerave të siguris në objektet e I. Arsimore pun shtesPrenk Jakova,,,,,,,,,,,,,,,,,,"4,000.00",1,1,1,,,MF Sistems,10.03.16,,,"4,000.00",,,,,,,
,1,20,1,2,1,36,Furnizimi  I shkollave   me rekuizita sportive,,,,,,,,,,,,,,,,,,"80,000.00",1,1,1,,,Sporting,20.04.16,,,"78,556.00",,,,,,,
,1,21,1,3,6,28,"Furnizimi me rrethoja ,për Qendren rekreative në Germi",,,,,,,,,,,,,,,,,,"4,000.00",n/a,,,,,,01.01.16,,,,,,,,,,
,1,22,5,2,1,45,Rregullimi dhe  rrethimi I  varrezave  te  qytetit,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,Jetmiri&Edi kon,19.04.16,,,"55,241.12",,,,,,,
,1,23,5,2,1,45,Rikonstruimi dhe mirembajtja e nyjeve sanitare ,,,,,,,,,,,,,,,,,,"300,000.00",1,1,1,,,Euro Contruction,19.04.16,,,"116,663.00",,,,,,,
,1,24,5,2,1,45,"Rregullimi I strukturimit te murit Alpin, ",,,,,,,,,,,,,,,,,,"13,000.00",1,1,1,,,NITI-N,13.04.16,,,"7,940.00",,,,,,,
,1,25,5,2,1,45,Ngritja e  vendkalimeve  per  kembesore,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Eing Com,20.06.16,,,"28,711.00",,,,,,,
,1,26,5,2,1,45,Mirembajtja e ndriqimit publik pjesa e I-re,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,MVR elktromontues,16.05.16,,,"28,487.50",,,,,,,
,1,26,5,2,1,45,Mirembajtja e ndriqimit publik pjesa e II,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,elektrika mont,16.05.16,,,"34,161.70",,,,,,,
,1,26,5,2,1,45,Mirembajtja e ndriqimit publik pjesa e III,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,NITI-N,16.05.16,,,"20,415.00",,,,,,,
,1,26,5,2,1,45,Mirembajtja e ndriqimit publik pjesa e IV,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Light and more,16.05.16,,,"19,367.00",,,,,,,
,1,27,5,2,1,45,"Punimi, furnizimi dhe montimi I shtyllave antipark",,,,,,,,,,,,,,,,,,"45,000.00",1,1,1,,,Brezi Kufitar ,04.10.16,,,"39,425.00",,,,,,,
,1,28,5,2,1,45,Punimi I rrethojave  dhe  pastrimi  fitosanitar ne varrezat  e komuniteteve  si dhe   zgjerimi  I ndricimit  publik ne Bernice  ,,,,,,,,,,,,,,,,,,"90,000.00",1,1,1,,,Dardania ,19.05.16,,,"21,693.70",,,,,,,
,1,29,1,2,1,45,Furnizimi dhe montimi I rampave ne hapsirat e parkingjeve,,,,,,,,,,,,,,,,,,"80,000.00",1,1,1,,,Eko Invest,27.07.16,,,"79,950.00",,,,,,,
,1,30,1,2,1,45,Implem I sistemit te menagjimit eketronik te automjeteve me paisjet GPS,,,,,,,,,,,,,,,,,,"33,000.00",1,1,1,,,Logistic Plus,10.05.16,,,"29,106.00",,,,,,,
,1,31,4,3,6,74,Konkurs projektimi kendi I librave Prishtinë,,,,,,,,,,,,,,,,,,"2,000.00",1,1,2,,,Studio 11,14.06.16,,,"1,200.00",,,,,,,
,1,32,5,2,1,45,Ndertimi I aneksit te shkolles fillore Faik Konica ne Prishtine,,,,,,,,,,,,,,,,,,"289,705.98",1,1,1,,,En group,13.06.16,,,"173,677.56",,,,,,,
,1,33,2,2,1,93,Servisimi  dhe mirembajtja e pajisjeve mjekesore - pjesa e I-re,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Mam,22.08.16,,,"7,854.00",,,,,,,
,1,33,2,2,1,93,Servisimi  dhe mirembajtja e pajisjeve mjekesore -pjesa e II,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Ledi Med,03.06.16,,,"10,000.00",,,,,,,
,1,33,2,2,1,93,Servisimi  dhe mirembajtja e pajisjeve mjekesore -pjesa e II,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Mam,03.06.16,,,"10,000.00",,,,,,,
,1,33,2,2,1,93,Servisimi  dhe mirembajtja e pajisjeve mjekesore -pjesa e III,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Ledi Med,03.06.16,,,"10,000.00",,,,,,,
,1,34,2,2,1,60,Trasnporti I nxenesve dhe arsimtareve Prishtine Ballaban,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Kobra,03.05.16,,,"13,500.00",,,,,,,
,1,35,1,2,1,36,Furnizim me invertara per institucionet arsimore ,,,,,,,,,,,,,,,,,,"40,000.00",1,1,1,,,METALI,01.07.16,,,"34,950.00",,,,,,,
,1,36,1,3,1,36,Furnizimi i paisjeve teknologjike për Qendrën e Biznesit,,,,,,,,,,,,,,,,,,"4,200.00",1,1,1,,,INFO COM,18.04.16,,,"3,722.00",,,,,,,
,1,37,2,3,1,85,Sigurimi personal per studentet e shkollave profesionale ,,,,,,,,,,,,,,,,,,"4,500.00",1,1,1,,,KS Illyria,22.04.16,,,"1,003.63",,,,,,,
,1,38,1,2,1,36,Furnzim me uniforma verore per stafin e BPZ-së,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,Sodex,06.07.16,,,"63,757.15",,,,,,,
,1,39,1,3,1,36,Furnizim me mobilje për qendren e biznesit,,,,,,,,,,,,,,,,,,"9,500.00",1,1,1,,,Mali,21.04.16,,,"7,900.00",,,,,,,
,1,40,4,3,6,74,Konkurs projektimi tregu I luleve Pishtinë,,,,,,,,,,,,,,,,,,"2,000.00",1,1,2,,,Alfa produkt,14.06.16,,,"1,293.75",,,,,,,
,1,41,2,3,6,60,Promovimi I Qendres per Keshillim ne Karriere,,,,,,,,,,,,,,,,,,"7,000.00",1,1,1,,,Pi Comunications,16.05.16,,,"7,000.00",,,,,,,
,1,42,1,2,1,41,Furnizimi me gypa dhe ekstrat(shkuma),,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,ALBAKOS INT,31.05.16,,,"11,970.00",,,,,,,
,1+2,44,5,1,1,45,"Ndertimi I kanalizimit fekal ne Bardhosh, Ne disa lagje ne Barileve dhe Prugovc lagja 5",,,,,,,,,,,,,,,,,,"671,621.00",1,1,1,,,Gashi Ing,07.06.16,,,"373,144.00",,,,,,,
,1,45,1,2,1,36,Furnizimi i Institucioneve Parashkollore me material didaktik,,,,,,,,,,,,,,,,,,"15,000.00",1,1,1,,,NTP VLORA,31.05.16,,,"13,581.12",,,,,,,
,1,46,1,3,6,41,Pastrimi I tepihave te institucioneve parashkollore,,,,,,,,,,,,,,,,,,"4,000.00",1,1,1,,,NITI-N,10.05.16,,,"1,659.30",,,,,,,
,1,47,1,3,6,30,Furnizimi I shkollave me televizor ,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,ONI DESING,06.06.16,,,"9,135.00",,,,,,,
,1,48,2,2,1,93,Kontrolla e hyrjeve në ndertesat e Banimit,,,,,,,,,,,,,,,,,,"26,950.00",1,1,1,,,Geo cad&geo gis,30.05.16,,,"12,705.00",,,,,,,
,1+2,50,5,2,1,45,Ndertimi I  rrugicave  ne fshatrat Llukar  dhe  Makovc-Prishtine,,,,,,,,,,,,,,,,,,"340,719.77",1,1,1,,,Seti comerce ,20.06.16,,,"134,564.14",,,,,,,
,1,51,5,2,1,45,"Mirëmbajtja, riparimi i rrugëve rurale dhe parkingut ne zonën industriale",,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Ledi Ing,07.07.16,,,"65,174.20",,,,,,,
,1,52,5,2,1,45,Rikonstruimi  dhe mirmbajtja e kulmeve të disa shkollave ,,,,,,,,,,,,,,,,,,"300,000.00",1,1,1,,,Olti trasing ,07.07.16,,,"77,818.00",,,,,,,
,1,53,2,1,1,74,Inçizime gjeodezike për planet rregulluese të hollësishme,,,,,,,,,,,,,,,,,,"150,000.00",1,1,1,,,Geoland&Consult en.,15.07.16,,,"86,306.00",,,,,,,
,1,54,1,2,1,30,Furnizimi me softver per menaxhimin e integruar te sistemit te prokurimit.,,,,,,,,,,,,,,,,,,"21,000.00",1,1,1,,,Cacctus,01.06.16,,,"19,980.00",,,,,,,
,1,55,2,2,1,93,Inçizimet gjeodezike në Prishtinë ,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,GeoProject ,11.08.16,,,"52,610.60",,,,,,,
,1,56,2,2,1,74,Inçizimet gjeodezike për hartën zonal të Komunës së Prishtinës,,,,,,,,,,,,,,,,,,"50,000.00",1,1,1,,,Geo-Arch&Geomatka,27.07.16,,,"14,658.60",,,,,,,
,1+2,57,5,2,1,45,Ndertimi I rrugeve ne lagjen Veternik dhe ne lagjen Mat - Prishtinë,,,,,,,,,,,,,,,,,,"497,340.40",1,1,1,,,Gerlica ,14.07.16,,,"390,262.10",,,,,,,
,1,58,1,2,1,36,Furn. me uniforma-veshëmbathje të puntorëve administrativ të Komunës ,,,,,,,,,,,,,,,,,,"25,000.00",1,1,1,,,Alma,08.08.16,,,"21,595.00",,,,,,,
,1,59,5,2,1,45,Renovimi i ngrohjes në Bibloteken Hivzi Sylejmanisi dhe renoviem tjera,,,,,,,,,,,,,,,,,,"50,000.00",1,1,1,,,Termovizion ,01.06.16,,,"24,975.00",,,,,,,
,1,60,,2,3,6,promovimi I Q.së Karrierës dhe shkollave profes. në panairin e edukimit ,,,,,,,,,,,,,,,,,,"4,000.00",1,1,1,,,CEO,05.05.16,,,"3,823.00",,,,,,,
,1,61,1,3,6,36,"Furnizimi i shtëpizave me Inventar (perde,perde gome ,tavolina ,qilima etj)",,,,,,,,,,,,,,,,,,"5,500.00",1,1,1,,,NEW LINE &Bajrakt,26.05.16,,,"5,496.00",,,,,,,
,1,63,2,3,6,92,Organizimi I trajnimeve për Qendrën e Këshillimit të Karrierës ,,,,,,,,,,,,,,,,,,"9,837.00",1,1,1,,,AUK,12.05.16,,,"9,680.00",,,,,,,
,1,64,5,2,1,45,Pastrimi dhe bartja e mbeturinave si dhe rehabilitimi I lokacioneve ,,,,,,,,,,,,,,,,,,"80,000.00",1,1,1,,,VZ Company,04.07.16,,,"49,700.00",,,,,,,
,1,65,1,2,1,33,Furnizimi me aparaturë mjeksore për QKMF-në dhe QMF-të - Loto I-re,,,,,,,,,,,,,,,,,,"115,000.00",1,1,1,,,Atomed ,04.07.16,,,"37,250.00",,,,,,,
,1,65,1,2,1,33,Furnizimi me aparaturë mjeksore për QKMF-në dhe QMF-të - Loto II-te,,,,,,,,,,,,,,,,,,,1,1,1,,,Atomed ,04.07.16,,,"23,120.00",,,,,,,
,1,65,1,2,1,33,Furnizimi me aparaturë mjeksore për QKMF-në dhe QMF-të - Loto III-te,,,,,,,,,,,,,,,,,,,1,1,1,,,Buli,04.07.16,,,"5,203.00",,,,,,,
,1,65,1,2,1,33,Furnizimi me aparaturë mjeksore për QKMF-në dhe QMF-të - Loto IV-te,,,,,,,,,,,,,,,,,,,1,1,1,,,Koslabor,04.07.16,,,"2,478.00",,,,,,,
,1,66,1,3,6,36,Furnizimi dhe mintimi me dyer të rrethijës së Qendres Rekrative,,,,,,,,,,,,,,,,,,"2,000.00",1,1,1,,,Global Ing,26.05.16,,,"1,590.00",,,,,,,
,1,67,2,3,6,93,Zhvillimi i programit CSM-Career Service Manager per nevojat e qendres,,,,,,,,,,,,,,,,,,"7,300.00",1,1,1,,,Tech Vizion,18.07.16,,,"3,150.00",,,,,,,
,1,69,5,2,1,45,"Implementimi I projektit te nyjes ne fund te rruges Avdyl Rama Dislokimi I trafos, shtyllave elektrike dhe trajtimi I zones",,,,,,,,,,,,,,,,,,"186,789.38",1,1,1,,,Veha Group&Arhing,08.06.16,,,"132,049.10",,,,,,,
,1,70,1,2,1,29,Instalimi I kater pikave te alarmit publik,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Dugagjin Rudi,11.07.16,,,"19,400.00",,,,,,,
,1,71,2,2,1,93,Deratizimi dhe dezinfektimi I institucioeve arsimore - DDD,,,,,,,,,,,,,,,,,,"55,000.00",1,1,1,,,Doc Ex. DDD,27.06.16,,,"22,425.24",,,,,,,
,1,72,5,2,1,45,Implementimi I projektit Bllok pas Blloku,,,,,,,,,,,,,,,,,,"190,608.00",1,1,1,,,Vision Project,28.07.16,,,"166,274.11",,,,,,,
,1+2,73,5,2,5,45,Ndertimi i rruges Perandori Justinjan Perball kadetrales Prishtinë pun shtes,,,,,,,,,,,,,,,,,,"20,999.59",1,1,1,,,Eing COM,08.06.16,,,"20,999.59",,,,,,,
,1,74,1,3,6,36,Furnizimi me uniforma per maturant per gradim ,,,,,,,,,,,,,,,,,,"6,500.00",1,1,1,,,ENDI,25.05.16,,,"3,750.00",,,,,,,
,1,75,1,3,6,15,Furnizimi me ujë,,,,,,,,,,,,,,,,,,"6,000.00",1,1,1,,,Beni Dona,24.06.16,,,"2,500.00",,,,,,,
,1,76,2,3,6,60,Transporti I nxenesve dhe arsimtareve ,,,,,,,,,,,,,,,,,,"9,000.00",1,1,1,,,DITA,06.06.16,,,"5,535.00",,,,,,,
,1,77,5,2,1,45,"Ndërtimi i rrugëve në fshatin Koliq,lagja Bicaj dhe Vol ",,,,,,,,,,,,,,,,,,"237,624.43",1,1,1,,,Bashkimi&ledi,12.07.16,,,"136,019.99",,,,,,,
,1,78,2,3,6,93,Pjesa Artistike për 1 Qershorin Ditën e Fëmijeve ,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,AMC,02.06.16,,,"9,640.00",,,,,,,
,1,79,2,3,6,60,Sherbimet teknike per festen e 1 Qershorit,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,AMC,03.06.16,,,"9,865.00",,,,,,,
