Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,,163,5,2,1,45,Rregullimi i infrastruktures dhe trajtimi i mbeturinave te shkolla model,,,,,,,,,,,,,,,,,,"75,000.00",1,1,1,,,Rexha,19.02.14,,,"67,230.65",,,,,,,
,,177,1,2,1,1,Meliorimi I livadheve dhe kullosave - Furnizimi me farë bari dhe pleh mineral,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Agro Kop,20.02.14,,,"17,150.00",,,,,,,
,,178,5,2,1,45,Rindërtimi i rrugëve me asfalt dhe kubëza në lagjen Mat,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Eskavatori,07.03.14,,,"151,002.00",,,,,,,
,,189,1,2,1,29,Furnizimi me pajisje te TI per disa shkolla te Komunes se Prishtines,,,,,,,,,,,,,,,,,,"60,000.00",1,1,1,,,Rea Comerce,24.02.14,,,"49,817.00",,,,,,,
,,198,5,2,1,45,Sanimi I rrugeve me zhavor,,,,,,,,,,,,,,,,,,"60,000.00",1,2,1,,,Jaha Company,12.03.14,,,"48,681.00",,,,,,,
,,1,2,3,6,92,Organizimi I tureneut ne shah dhe shpllja e sportistit te vitit 2013,,,,,,,,,,,,,,,,,,"8,000.00",1,1,1,,,Klubi I shahut,29.01.14,,,"8,000.00",,,,,,,
,,2,2,2,1,92,"Org.i manifestimeve me rastin e 17 shkurtit, Ditës së Pavarsisë",,,,,,,,,,,,,,,,,,"17,500.00",1,1,1,,,Lig.Des.Studio,14.02.14,,,"15,560.00",,,,,,,
,,3,2,2,5,50,Mirembajtja e ngrohjes qendrore ne institucionet komunes se prishtines,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Termokos,13.02.14,,,253.00,,,,,,,
,,4,1,3,6,36,Furnizimi me pajisje për sistemin e ngrohjes në Institucione Parashkollore,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Install Enginerinring,03.02.14,,,"9,417.21",,,,,,,
,,5,1,3,6,36,Furnizimi dhe montimi I laures ne hyrje te parkut Germia,,,,,,,,,,,,,,,,,,"5,000.00",1,1,1,,,Profesional Alarm,19.02.14,,,"4,849.52",,,,,,,
,,6,5,2,1,45,Pastrimi I mbetjeve ndertimore gjate vitit 2014-RITENDER,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,Megi Bau,10.11.14,,,"87,500.00",,,,,,,
,,7,2,2,1,1,Projekti I veterines mobile,,,,,,,,,,,,,,,,,,"25,000.00",1,1,1,,,Spana&Veterina,18.04.14,,,"24,800.00",,,,,,,
,,8,2,2,1,74,Hartimi I projekteve per disa rruge ne qytetin dhe ne fshatra te Komunes se Prishtines-LOT 1,,,,,,,,,,,,,,,,,,"6,000.00",1,1,1,,,Rikon Struksion,22.04.14,,,"1,334.00",,,,,,,
,,8,2,2,1,74,Hartimi I projekteve per disa rruge ne qytetin dhe ne fshatra te Komunes se Prishtines-LOT 2,,,,,,,,,,,,,,,,,,"2,000.00",1,1,1,,,Eng Idea,22.04.14,,,"2,272.00",,,,,,,
