Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,2,2,1,2,1,36,Furnizimi me gyp shtytes dhe paisje tjera per nevojat e B.Z,,,,,,,,,,,,,,,,,,"30,000.00",1,2,1,,,Euro Trade,29.03.11,,,"27,460.00",,,,,NaN,,
,2,3,2,2,1,72,"Hartimi I projektit te rrugeve A,A1 dhe B1 ne lagjen Arberia",,,,,,,,,,,,,,,,,,"8,200.00",1,1,2,,,Bamirs,21.04.11,,,"7,565.50",,,,,,,
,2,4,2,2,1,72,Hartimi I projektit te rrugeve E dhe E1,,,,,,,,,,,,,,,,,,"6,000.00",1,1,2,,,Infra plus,21.04.11,,,"4,900.00",,,,,,,
,2,5,1,3,6,18,Furnizim me uniforme per sherbimin teknik te Komunes,,,,,,,,,,,,,,,,,,"8,500.00",1,1,1,,,Minimax,11.02.11,,,"7,057.80",,,,,,,
,2,6,2,2,1,72,Harrtimi I I projektit kryesor per rrugen A ne Matin 1,,,,,,,,,,,,,,,,,,"10,000.00",1,1,2,,,Infra plus,21.04.11,,,"8,500.00",,,,,,,
,2,7,5,2,1,45,Instalimi I ngrohjes qendrore vetanake ne institucionet arsimore,,,,,,,,,,,,,,,,,,"80,000.00",1,1,1,,,Termovizion,14.02.11,,,"73,955.07",,,,,,,
,2,7,5,2,1,45,Instalimi I ngrohjes qendrore vetanake ne institucionet arsimore,,,,,,,,,,,,,,,,,,"80,000.00",1,1,1,,,Ejona,14.02.11,,,"73,714.00",,,,,,,
,2,8,5,2,1,45,Nd. I tereneve sportive ne 5 shkolla te K ne Prishtine,,,,,,,,,,,,,,,,,,"250,000.00",1,1,1,,,Beni construk,27.06.11,,,"239,281.67",,,,,,,
,2,9,1,1,1,34,Furnizimi me vetura per Komune,,,,,,,,,,,,,,,,,,"250,000.00",1,1,2,,,Hyundai,03.05.11,,,"236,780.00",,,,,,,
,2,10,2,3,6,36,Riparimi I rezervarit te ujit per fikjen e zjarrit,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Autoservis sis,04.04.11,,,"9,490.00",,,,,,,
,2,11,2,2,1,72,Hartimi I projekteve kryesore per disa rruge rurale,,,,,,,,,,,,,,,,,,"25,000.00",1,1,2,,,3 D Projekts,21.04.11,,,"18,900.00",,,,,,,
,2,12,2,2,1,72,Hartimi I projektit te rrugeve M.Fejza dhe Trepça,,,,,,,,,,,,,,,,,,"20,000.00",1,1,2,,,AKHM Projej,20.06.11,,,"14,200.00",,,,,,,
,2,14,1,2,1,92,Furnizimi me vegla dhe rekuizita sportive te sallave te ed.fizike,,,,,,,,,,,,,,,,,,"190,000.00",1,1,1,,,Pro Trade,08.09.11,,,"177,777.75",,,,,,,
,,15,5,1,1,45,Ndertimi I aneksit te gjimnazit Sami Frasheri,,,,,,,,,,,,,,,,,,"550,000.00",1,2,1,,,Bedi Nderton,15.04.11,,,"536,333.84",,,,,,,
,,16,5,2,1,45,Ndertimi I aneksit te sh.f  Meto Bajraktari,,,,,,,,,,,,,,,,,,"250,000.00",1,1,1,,,Remi Com,20.04.11,,,"210,449.32",,,,,,,
,,17,5,2,1,45,Nd.i Aneksit te shkolla  7 Marsi,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Euro Projekt,20.04.11,,,"187,736.43",,,,,,,
,2,22,2,3,6,92,Organizimi I manifestimit per diten e Pavaresise,,,,,,,,,,,,,,,,,,"8,200.00",1,1,1,,,De Production,15.02.11,,,"7,780.00",,,,,,,
,2,23,5,2,1,45,Ndertimi I rruges  Rimanishte -Siceve -faza e pare,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Rexha,18.04.11,,,"72,826.86",,,,,,,
,2,24,5,2,1,45,Ndertimi I rruges  Rrustem Statovci,,,,,,,,,,,,,,,,,,"300,000.00",1,1,1,,,Beni com,16.05.11,,,"271,373.97",,,,,,,
,2,25,5,1,1,45,Ndertimi I rruges Ibrahim Fehmiu,,,,,,,,,,,,,,,,,,"950,000.00",1,1,1,,,Eskavatori,10.08.11,,,"939,190.36",,,,,,,
,2,26,5,2,1,45,Rindertimi I rruges UÇK dhe Fehmi Agani,,,,,,,,,,,,,,,,,,"500,000.00",1,1,1,,,Beni Com,19.04.11,,,"466,537.10",,,,,,,
,2,28,5,2,1,45,Sanimi I gropave ne rruget e qytetit,,,,,,,,,,,,,,,,,,"300,000.00",1,1,1,,,Strassen Tief,21.04.11,,,"224,095.00",,,,,,,
,2,29,5,2,1,45,Ndertimi I pjeses te rruges N.Perlleshiprej rruges M.Fejza  deri te QMF,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Integral-Milen,12.05.11,,,"142,191.91",,,,,,,
,2,30,1,2,1,29,Furnizimi me pjese per ngrohje qendrore per shkolla dhe I.P - kornizë,,,,,,,,,,,,,,,,,,"140,000.00",1,2,1,,,Install Enginie,10.11.11,,,"120,000.00",,,,,,,
,2,32,1,2,1,1,Furnizimi me serra,,,,,,,,,,,,,,,,,,"38,000.00",1,1,1,,,Las Pallmas,24.03.11,,,"36,538.00",,,,,,,
,2,33,1,2,1,1,Furnizimi me fidane te pemeve,,,,,,,,,,,,,,,,,,"75,000.00",1,1,1,,,Las Pallmas,20.04.11,,,"71,677.00",,,,,,,
,2,34,1,2,1,29,Furnizimi me aparat gjeodezike,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Profitech,26.05.11,,,"98,370.61",,,,,,,
,2,35,2,2,1,72,Hartimi I projektit per Prroin Prishtina nga Fusha e Pajtimit -malore,,,,,,,,,,,,,,,,,,"35,000.00",1,1,2,,,Proing,21.04.11,,,"24,080.00",,,,,,,
,2,36,5,2,1,45,Ndërtimi I disa rrugëve lidhëse me rrugën V Fazliudhe rrugët lidhëse I.K,,,,,,,,,,,,,,,,,,"300,000.00",1,1,1,,,Belvedere,22.06.11,,,"286,645.10",,,,,,,
,2,37,5,2,1,45,"Rindertimi I rrugëve I.AsllaniV Maqastena ,I.Rrecidhe disa rrugëve tjera",,,,,,,,,,,,,,,,,,"500,000.00",1,1,1,,,ABC,21.04.11,,,"496,075.11",,,,,,,
,2,38,5,2,1,45,Rindertimi I rrugëve në Hajvali  Ballaban dhe Prapashticë,,,,,,,,,,,,,,,,,,"300,000.00",1,1,1,,,Beni Com,23.04.11,,,"259,820.10",,,,,,,
,2,39,2,2,1,63,Transporti I nxënse në relacionin Prishtinë-Llapnasell - kornizë,,,,,,,,,,,,,,,,,,"10,000.00",1,2,1,,,Besart com,31.05.11,,,"8,000.00",,,,,,,
,2,40,5,2,1,45,Ndërtimi I garazhave montuese në punktin e zjarrfikësve në Kodren e Trim,,,,,,,,,,,,,,,,,,"60,000.00",1,1,1,,,Valoni,27.05.11,,,"49,597.41",,,,,,,
,2,41,5,2,1,45,Renovimi I Strehimoreve të qytetit dhe paisjet e tyre,,,,,,,,,,,,,,,,,,"35,000.00",1,1,1,,,Remi Com,05.07.11,,,"29,598.38",,,,,,,
,2,42,5,2,1,45,"Fasadimi I ndertesave në rrugën UÇK,F Agani dhe L Haradinaj",,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Olti trasing,22.04.11,,,"177,530.00",,,,,,,
,2,43,5,2,1,45,"Fasadimi I ndertesave në rrugën A Ramadani, Q. Hogjadhe T Ismaili",,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Beni construk,26.04.11,,,"150,042.40",,,,,,,
,2,44,5,2,1,45,Ndertimi I rruges Tumori,,,,,,,,,,,,,,,,,,"450,000.00",1,1,1,,,ABC,19.04.11,,,"425,187.30",,,,,,,
,2,45,5,2,1,45,"Fasadimi I ndertesave në rrugën L.Haradinaj,A Ramadani dhe R Luci",,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Krapi Com,22.04.11,,,"223,392.60",,,,,,,
,2,46,5,2,1,45,Ndertimi I tereneve sportive univerzale në Prishtinë,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,Olti trasing,18.05.11,,,"64,720.00",,,,,,,
,2,48,5,1,1,45,Mirëmbajtja e siperfaqeve gjelbruese,,,,,,,,,,,,,,,,,,"600,000.00",1,2,1,,,Hortikultura,31.03.11,,,"450,000.00",,,,,,,
,2,49,5,2,1,45,"Rindertimi I disa krahve te rrugëveM.Fejza, I. Kastrati dhe tjera ne l.Mati 1",,,,,,,,,,,,,,,,,,"350,000.00",1,1,1,,,Gerlica comp,21.04.11,,,"321,683.00",,,,,,,
,2,50,5,2,1,45,Rindertimi i krahëve të rrugëve Sheshi i Arbërit Tabet e Llapashticës,,,,,,,,,,,,,,,,,,"40,000.00",1,1,1,,,Gerlica comp,13.05.11,,,"349,542.50",,,,,,,
,2,51,1,2,1,24,Furn. me material shpen. për zyre për nevojat e Komunës -pj. I-rë -kornizë,,,,,,,,,,,,,,,,,,"15,000.00",1,1,1,,,KGT,21.07.11,,,"20,000.00",,,,,,,
,2,51,1,2,1,24,Furn. me material shpen. për zyre për nevojat e Komunës -pj. II-të - korniz,,,,,,,,,,,,,,,,,,"15,000.00",1,1,1,,,Trend,21.07.11,,,"10,000.00",,,,,,,
,2,51,1,2,1,24,Furn. me material shpen. për zyre për nevojat e Komunës -pj. III-të - korn,,,,,,,,,,,,,,,,,,"15,000.00",1,1,1,,,Blendi,21.07.11,,,"8,000.00",,,,,,,
,2,52,5,2,1,45,"Rindertimi I disa rrugëve në lagjen Arbëria ,Velania dhe Sofalia",,,,,,,,,,,,,,,,,,"40,000.00",1,1,1,,,Euro Garten,03.06.11,,,"381,615.80",,,,,,,
,2,53,5,2,1,45,"Rindertimi I disa rrugëve në lagjet Kalabria,Tastligje dhe Ilirida ",,,,,,,,,,,,,,,,,,"250,000.00",1,1,1,,,Euro Garten,22.06.11,,,"215,418.00",,,,,,,
,2,54,5,2,1,45,Rindertimi I disa rrugëve në lagjen Kodra e Trimave,,,,,,,,,,,,,,,,,,"500,000.00",1,1,1,,,Gashi Ing,03.05.11,,,"486,422.30",,,,,,,
,2,55,2,2,1,93,Projekti I veterines mobile,,,,,,,,,,,,,,,,,,"25,000.00",1,1,1,,,Spana,20.04.11,,,"23,860.00",,,,,,,
,2,56,5,2,1,45,Riparimet në teatrin Dodona në Prishtine,,,,,,,,,,,,,,,,,,"40,000.00",1,1,1,,,Remi Com,26.05.11,,,"20,918.40",,,,,,,
,2,57,1,1,1,29,Funizimi dhe montimi i tri nyjeve semaforike,,,,,,,,,,,,,,,,,,"350,000.00",1,1,1,,,Botek&Eko Invest,17.11.11,,,"336,812.00",,,,,,,
,2,59,5,2,1,45,Ndërtimi I fontanës te rrethi pranë Kuvendit Komunal,,,,,,,,,,,,,,,,,,"40,000.00",1,1,1,,,Konstruktori,21.04.11,,,"24,880.78",,,,,,,
,2,60,5,2,1,45,Pastrimi dhe larja e rrugëve e trotuareve te qytetit te Prishtinës - pj. I-rë,,,,,,,,,,,,,,,,,,"150,000.00",1,2,1,,,Zahiri,13.05.11,,,"133,557.12",,,,,,,
,2,60,5,2,1,45,Pastrimi dhe larja e rrugëve e trotuareve te qytetit te Prishtinës - pj. II-të,,,,,,,,,,,,,,,,,,"150,000.00",1,2,1,,,Toifor,13.05.11,,,"165,022.32",,,,,,,
,2,60,5,2,1,45,Pastrimi dhe larja e rrugëve e trotuareve te qytetit te Prishtinës - pj. III-të,,,,,,,,,,,,,,,,,,"150,000.00",1,2,1,,,Pastrimi,13.05.11,,,"131,035.68",,,,,,,
,2,61,5,2,1,45,Riparimet në shkollën e bujqësise ne Prishtine,,,,,,,,,,,,,,,,,,"35,000.00",1,1,1,,,Brezi Kufitar,20.05.11,,,"29,765.65",,,,,,,
,2,62,5,2,1,45,Ndertimi I trafostacionit elektrik ne rrugen Murat Gjakla,,,,,,,,,,,,,,,,,,"30,000.00",1,2,1,,,Elektra,19.04.11,,,"28,922.00",,,,,,,
,2,63,4,2,3,72,Konkursi I projektimit për sheshin Zahir Pajaziti,,,,,,,,,,,,,,,,,,"100,000.00",1,2,2,,,Smart Project,14.09.11,,,"49,500.00",,,,,,,
,2,64,4,2,3,72,Konkursi I projektimit për sheshin pavaresise Ibrahim Rugova,,,,,,,,,,,,,,,,,,"100,000.00",1,2,2,,,Smart Project,02.08.11,,,"85,840.00",,,,,,,
,2,65,1,2,1,28,Furnizimi me kontejnera per komunene e Prishtines,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,Metali,30.05.11,,,"67,250.00",,,,,,,
,2,66,2,1,1,93,Dezinsektimi hapsinor I qytetit,,,,,,,,,,,,,,,,,,"120,000.00",1,1,1,,,Doctor Exterm,08.06.11,,,"118,876.80",,,,,,,
,2,67,2,3,6,93,Servisimi dhe mbushja e aparateve kunder zjarrit,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Emergjenca,24.05.11,,,"10,000.00",,,,,,,
,2,68,1,2,1,24,Furnizimi me material higjenik per Institucionet Parashkollore,,,,,,,,,,,,,,,,,,"35,000.00",1,1,1,,,KGT,01.06.11,,,"30,613.76",,,,,,,
,2,69,1,2,1,30,Furnizimi me kompjuter për nevojat e Drejtoratit te Urbanizmit,,,,,,,,,,,,,,,,,,"40,000.00",1,1,1,,,Botek,07.06.11,,,"38,718.00",,,,,,,
,2,70,2,3,6,80,Sherbimet e perkthimit per nevojat e Komunes,,,,,,,,,,,,,,,,,,"5,000.00",1,1,1,,,Euro translations,20.04.11,,,"1,600.00",,,,,,,
,2,71,5,2,1,45,Sinjalizimi horizontal e vertikal ne qytetin e Prishtines,,,,,,,,,,,,,,,,,,"160,000.00",1,2,1,,,Jona,30.05.11,,,"134,990.00",,,,,,,
,2,72,2,3,6,92,"Organizimi , montimi I zërimit për programet e oraganizuara",,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Power Sound,19.05.11,,,"10,000.00",,,,,,,
,2,73,1,2,1,15,Furnizimi I byfesë me mallra - kornizë,,,,,,,,,,,,,,,,,,"20,000.00",1,1,1,,,Bina Com,30.06.11,,,"15,000.00",,,,,,,
,2,74,5,2,1,45,Ndertimi I tualeteve publike,,,,,,,,,,,,,,,,,,"30,000.00",1,1,1,,,Bazamenti,27.06.11,,,"27,575.00",,,,,,,
,2,76,1,1,1,34,Furnizimi me automjete per Brigaden e Zjarrfiksave,,,,,,,,,,,,,,,,,,"450,000.00",1,2,1,,,Pro Trade,08.09.11,,,"427,200.00",,,,,,,
,2,77,2,2,1,93,Dhenja ne shfrytezim e parkingut për automjete te Pallati I Rinisë,,,,,,,,,,,,,,,,,,,1,1,1,,,,24.11.11,,,,,,,,,,
,2,78,5,1,1,45,Ndertimi I rruges B - faza e II-të,,,,,,,,,,,,,,,,,,"2,500,000.00",1,1,1,,,Unicom,11.07.11,,,"2,883,847.12",,,,,,,
,2,79,5,2,1,45,Rregulimi I oborrit dhe kryerja e disa puneve perfundimtare ne B.Z,,,,,,,,,,,,,,,,,,"150,000.00",1,1,1,,,Baz.-Beni Co,04.07.11,,,"135,558.50",,,,,,,
,2,81,1,3,6,28,Furnizimi dhe montimi I perdeve për nevojat e Komunës,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Genci rol,24.05.11,,,"10,000.00",,,,,,,
,2,82,5,2,1,45,Grumbullimi dhe bartja e mbeturinave te ngurta nga qyteti ne deponi,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Dardania,20.06.11,,,"87,500.00",,,,,,,
,2,83,2,3,6,74,Adaptimi I projektit zbatues dhe përshtatja në lokacionin e Shkoll. Ekonom,,,,,,,,,,,,,,,,,,"10,000.00",1,1,1,,,Plan Ing,05.05.11,,,"8,960.00",,,,,,,
,2,84,5,2,1,45,Ndërtimi I nënkalimit për këmbësor tek Xhamia e Llapit,,,,,,,,,,,,,,,,,,"150,000.00",1,1,1,,,Faktor - X,18.07.11,,,"121,963.14",,,,,,,
,2,86,2,2,1,93,Krijimi I kadastrit të perqojave dhe objekteve nentokesore,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,New,21.07.11,,,"90,400.00",,,,,,,
,2,87,2,3,6,92,Organizimi I manifestimit për Ditën e Europës,,,,,,,,,,,,,,,,,,"8,000.00",1,1,1,,,Corona,06.05.11,,,"7,380.00",,,,,,,
