Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,2,146,2,2,1,72,Ndryshimi dhe plotesimi i planit rregullativ Kalabria,,,,,,,,,,,,,,,,,,"100,000.00",1,1,2,,,Urban plus,07.03.13,,,"76,800.00",,,,,NaN,,
,2,183,5,1,1,45,Ndertimi i pishines ne Germi,,,,,,,,,,,,,,,,,,"500,000.00",1,1,1,,,Arda Rei,24.09.13,,,"412,852.70",,,,,,,
,2,184,5,1,1,45,"Ndert. i objektit banesor per familjet e deshmoreve, invalideve dhe veteranve",,,,,,,,,,,,,,,,,,"1,000,000.00",1,1,1,,,Albes,21.02.13,,,"847,807.49",,,,,,,
,2,206,2,2,1,74,Ndryshimi dhe plotesimi i planit rregullativ te lagjes Lakrishte,,,,,,,,,,,,,,,,,,"35,000.00",1,1,2,,,Impact,12.03.13,,,"26,910.00",,,,,,,
,2,207,2,2,1,74,Ndryshimi dhe plotesimi i planit rregullativ ne lagjen Arberia 3,,,,,,,,,,,,,,,,,,"47,000.00",1,1,2,,,Urban plus,07.03.13,,,"35,280.00",,,,,,,
,2,214,1,2,1,30,Furnizimi me pajisje Teknologjise Informative per nevojat e QPS,,,,,,,,,,,,,,,,,,"19,200.00",1,1,1,,,Rea Comerce,15.02.13,,,"14,748.00",,,,,,,
,2,225,1,2,1,31,"Furnizimi me material elektrik, hidrosaniatar dhe mjete te punes-pjesa eI-re",,,,,,,,,,,,,,,,,,"5,000.00",1,1,1,,,El Shpetimi,01.02.13,,,"4,016.95",,,,,,,
,2,225,1,2,1,31,"Furnizimi me material elektrik, hidrosaniatar dhe mjete te punes-pjesa e II-te",,,,,,,,,,,,,,,,,,"5,000.00",1,1,1,,,El Shpetimi,01.02.13,,,"1,933.40",,,,,,,
,2,230,5,2,1,45,Ndertimi i murit mbrojtes ne rrugen Behar Begolli,,,,,,,,,,,,,,,,,,"45,000.00",1,1,1,,,Al Trade,25.02.13,,,"36,414.48",,,,,,,
,2,231,5,1,1,45,Ndertimi i rruges Nue Perlleshi,,,,,,,,,,,,,,,,,,"950,000.00",1,1,1,,,Jehona,19.03.13,,,"871,546.56",,,,,,,
,2,233,2,2,1,72,Vlersimi strategjik mjedisor për Komunen e Prishtinës,,,,,,,,,,,,,,,,,,"10,000.00",1,1,2,,,Integral,13.02.13,,,"7,800.00",,,,,,,
,2,234,1,2,1,31,Ri instalimi i ormaneve te ndriçimit publik ne qytetitn e Prishtines viti 2013,,,,,,,,,,,,,,,,,,"70,000.00",1,1,1,,,Eltrisi,25.01.13,,,"50,833.00",,,,,,,
,2,238,5,2,1,45,"Ndertimi i trotuareve ne Prugovc lagja 2,3,4,5",,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,ABC,20.02.13,,,"80,166.00",,,,,,,
,2,240,5,2,1,45,Ndertimi i salles se ed.fizike ne sh.f. Pavaresia ne Mat I,,,,,,,,,,,,,,,,,,"200,000.00",1,1,1,,,Rexha,27.02.13,,,"179,070.72",,,,,,,
,2,241,5,2,1,45,Ndertimi i salles se ed.fizike ne sh.f. Ganimete Terbeshi - Llukar,,,,,,,,,,,,,,,,,,"110,000.00",1,1,1,,,Olti trasing,27.02.13,,,"99,506.70",,,,,,,
,2,242,5,2,1,45,Pastrimi i mbetjeve ndertimore gjate ter vitit 2013,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Dardania,06.02.13,,,"80,145.00",,,,,,,
,2,243,1,2,1,30,Furnizimi me pajisje te TI per nevojat e Komunes per vitin 2013,,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Botek,19.02.13,,,"96,057.08",,,,,,,
,2,244,2,2,1,93,"Sigurimi fizik i parkingut objektit te ri komunal dhe obj, te arhivit te qytetit",,,,,,,,,,,,,,,,,,"100,000.00",1,1,1,,,Rojet e nderit,24.07.13,,,1.00,,,,,,,
,2,246,5,1,1,45,Ndertimi i rruges Trepça,,,,,,,,,,,,,,,,,,"700,000.00",1,1,1,,,Conex group,19.03.13,,,"558,195.33",,,,,,,
