Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,1,3,1,3,6,36,Furnizimi me pajisje për sistemin e ngrohjes në Institucione Parashkollore,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,Install Enginiering ,11.07.15,,,"9,409.70",,,,,,,
,1,4,2,2,1,74,Hartimi i matjeve gjeodezike per planin rregullues Mati 1-faza e parë ,,,,,,,,,,,,,,,,,,"66,000.00",n/a,,,,,News,29.04.15,,,"15,776.00",,,,,,,
,1,5,2,2,1,74,Krijimi i kadastrit te perqojave nentokësore,,,,,,,,,,,,,,,,,,"100,000.00",n/a,,,,,GeoMap&News,26.08.15,,,"72,000.00",,,,,,,
,1,6,2,3,6,72,Servisimi dhe montimi I pajisjeve për ngrohje ne objektin e ri komunal ,,,,,,,,,,,,,,,,,,"6,000.00",n/a,,,,,Termo Engin ,29.04.15,,,"5,840.00",,,,,,,
,1+2,7,5,2,1,45,Sanimi i gropave me  asfalt në rrugët dhe trotoaret e Komunës 2015,,,,,,,,,,,,,,,,,,"498,145.00",n/a,,,,,Shkoza F07,26.05.15,,,"324,680.00",,,,,,,
,1+2,8,1,2,1,36,Furnizimi me uniforma per Brigaden e zjarrfiksave ,,,,,,,,,,,,,,,,,,"80,000.00",n/a,,,,,Sodex group,29.04.15,,,"69,966.00",,,,,,,
,1+2,9,5,3,6,45,Rekonstruimi I nyjeve sanitare ne gjimazinSami Frasheri,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,Ulpiana,25.02.15,,,"8,990.00",,,,,,,
,1,11,1,2,1,28,Furnizimi dhe montimi I xhamave ne shkollat dhe I.Parshkollore ,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Termoplast,14.04.15,,,"68,895.00",,,,,,,
,1,12,2,3,6,93,"Pastrimi i objektit të ri komunal,Qendrave për punë sociale,Arkivit,Agjensionit pyjor dhe Bibliotekës",,,,,,,,,,,,,,,,,,"9,500.00",n/a,,,,,MSS,16.02.15,,,"3,300.00",,,,,,,
,1,13,2,3,6,50,Mirmbajtja  e ngrohjes gjeotermale në Shkollen e Gjelbert - ritender ,,,,,,,,,,,,,,,,,,"3,000.00",n/a,,,,,Raketa,18.03.15,,,"4,875.50",,,,,,,
,1,14,2,2,5,65,Mirëmbajtja dimërore emergjente e rrugëve dhe trotuareve të qytetit,,,,,,,,,,,,,,,,,,"77,081.99",n/a,,,,,"Toifor,Zahiri,VZ dardania",09.02.15,,,"77,081.99",,,,,,,
,1,15,5,3,6,45,Mbulimi i xhamisë së qarshisë ,,,,,,,,,,,,,,,,,,"2,945.00",n/a,,,,,Brezi Kufitar ,04.03.15,,,"2,976.00",,,,,,,
,1,16,1,3,6,15,Furnizimi me artikuj ushqimor për nevoja të Komunës dhe Inst. Komunale,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,Beni Dona,23.03.15,,,"6,771.40",,,,,,,
,1,17,1,2,1,22,Furn. me inventar dhe mjete tjera Didaktike në Çerdhen Botanikane Mat,,,,,,,,,,,,,,,,,,"17,000.00",n/a,,,,,Abetare lotoII,28.04.15,,,"3,964.90",,,,,,,
,1,18,1,3,6,31,Furnizimi me pajisje te TI per nevojat e Drejtorisë së Urbanizmit,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,Botek,05.05.15,,,"5,140.00",,,,,,,
,1,19,2,2,1,93,Mirëmbajtja i Objektit te ri Komunal dhe disa Institucioneve tjera Komunale,,,,,,,,,,,,,,,,,,"100,000.00",n/a,,,,,MSS,13.07.15,,,"33,185.16",,,,,,,
,1,20,1,2,1,29,Furnizimi me rekuizita sportive per sallat e edukates fizike ,,,,,,,,,,,,,,,,,,"150,000.00",n/a,,,,,Sporting ,14.07.15,,,"146,406.00",,,,,,,
,1+2,22,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotoareve të qytetit 2013 - pjesa e pare,,,,,,,,,,,,,,,,,,"700,000.00",n/a,,,,,Zahiri,14.05.15,,,"186,844.08",,,,,,,
,1+2,22,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotoareve të qytetit 2013 - pjesa e dyte,,,,,,,,,,,,,,,,,,"700,000.00",n/a,,,,,VZ COMpany,14.05.05,,,"132,001.04",,,,,,,
,1,22,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotoareve të qytetit 2013 - pjesa e rete,,,,,,,,,,,,,,,,,,"700,000.00",n/a,,,,,Toifor,14.05.15,,,"149,822.55",,,,,,,
,1,22,2,1,1,93,Mirëmbajtja verore e rrugëve dhe trotoareve të qytetit 2013 - pjesa e katerte,,,,,,,,,,,,,,,,,,"700,000.00",n/a,,,,,Pastrimi,14.05.15,,,"147,512.20",,,,,,,
,1+2,23,5,2,1,45,Rregullimi I kanal. ne Gjimn. S.F. dhe rregullimi I elektrikes dhe disa renovime tjera ne kabinetet e SH.GJ.,,,,,,,,,,,,,,,,,,"40,000.00",n/a,,,,,Dekor,17.04.15,,,"29,995.00",,,,,,,
,1+2,24,2,2,1,77,Vaksionimi I gjedheve dhe qenve endacak - Projekti I veterines mobile,,,,,,,,,,,,,,,,,,"37,000.00",n/a,,,,,Spana,29.04.15,,,"35,300.00",,,,,,,
,1+2,25,5,1,1,45,Ndërtimi i bulevardit mbi Kurriznë lagjen Dardania,,,,,,,,,,,,,,,,,,"1,533,110.70",n/a,,,,,Rexha ,12.06.15,,,"977,725.51",,,,,,,
,1+2,26,5,2,1,45,Ndertimi I kanalizimit Fekal ne rrugen Mbreteresha Teute,,,,,,,,,,,,,,,,,,"60,352.00",n/a,,,,,veha group,12.05.15,,,"54,889.30",,,,,,,
,1+2,27,5,2,1,45,Rregullimi I platose prane PTK-se ne lagjen Dardania,,,,,,,,,,,,,,,,,,"376,798.62",n/a,,,,,Kapital Alping,12.05.15,,,"167,151.80",,,,,,,
,1+2,28,5,2,1,45,Rreg.I platos pran Çerdhes së fëmijëve Luleveranë lagjen Dardania ,,,,,,,,,,,,,,,,,,"210,253.48",n/a,,,,,Kapital&arianco,20.05.15,,,"97,603.00",,,,,,,
,1+2,29,5,2,1,45,Ndertimi I Rruges Mithat Frasheri,,,,,,,,,,,,,,,,,,"74,849.58",n/a,,,,,Ndertimi&Albakos,15.07.15,,,"80,286.60",,,,,,,
,1+2,30,5,2,1,45,Ndertimi I rruges Xheladin Kurbaliu-Prishtine,,,,,,,,,,,,,,,,,,"99,818.29",n/a,,,,,Euro  Famis,09.06.15,,,"74,939.90",,,,,,,
,1+2,31,5,2,1,45,Ndertimi I rruges Slivove - Kukaj,,,,,,,,,,,,,,,,,,"499,532.37",n/a,,,,,Jehona shpk,10.11.15,,,"370,013.15",,,,,,,
,1+2,32,5,2,1,45,Adaptimi dhe renovimi I shkolles politike ,,,,,,,,,,,,,,,,,,"170,000.00",n/a,,,,,Dekor,18.05.15,,,"150,068.74",,,,,,,
,1+2,33,5,2,1,45,Ndertimi I rrugës Basri Canolli,,,,,,,,,,,,,,,,,,"102,329.11",n/a,,,,,ATC,01.06.15,,,"54,854.45",,,,,,,
,1+2,34,5,1,1,45,Ndertimi I rruges Llukar Siqeve,,,,,,,,,,,,,,,,,,"709,109.82",n/a,,,,,Drini Company,12.05.15,,,"341,520.00",,,,,,,
,1+2,36,5,2,1,45,Zgjerimi I ndriqimit Publike ne fshatrat dhe qytetet ne Prishtine per vitin 2015,,,,,,,,,,,,,,,,,,"200,000.00",n/a,,,,,Monting,29.06.15,,,"190,487.95",,,,,,,
,1,37,2,2,1,34,Adaptimi I kamioneve per grumbullimin e mbeturinave ,,,,,,,,,,,,,,,,,,"70,000.00",n/a,,,,,Niti&caja,08.06.15,,,"32,400.00",,,,,,,
,1+2,38,5,2,1,45,Ndertimi  I infrastruktures ne disa rruge te lagjes Kalabria-Prishtine,,,,,,,,,,,,,,,,,,"246,451.63",n/a,,,,,KeCompany & Eskavatori,14.05.15,,,"144,995.20",,,,,,,
,1+2,39,5,2,1,45,"Miremb. dhe rregullimi e fontanave ,krojeve e monomenteve per vitin 2015",,,,,,,,,,,,,,,,,,"40,000.00",n/a,,,,,Niti&Royal cert,05.05.15,,,"21,079.70",,,,,,,
,1+2,40,5,2,1,45,Pastrimi I shtarit te lumenjeve dhe kanal. atmosferik nga puseta ne Puset,,,,,,,,,,,,,,,,,,"100,000.00",n/a,,,,,toifor,12.05.15,,,"60,821.60",,,,,,,
,1+2,41,5,2,1,45,Miremb. e ndriçimit publik ne rruget e prishtines per vitin 2015 - pjesa e I-re,,,,,,,,,,,,,,,,,,"150,000.00",n/a,,,,,Termomontimi ,20.05.15,,,"34,843.50",,,,,,,
,1+2,41,5,2,1,45,Miremb.e ndriçimit publik ne rruget e prishtines per vitin 2015 - pjesa e II-te,,,,,,,,,,,,,,,,,,"150,000.00",n/a,,,,,Ndriçimi&monte,20.05.15,,,"39,057.00",,,,,,,
,1+2,41,5,2,1,45,Miremb. e ndriçimit publik ne rruget e prishtines per vitin 2015  pjesa e III-te,,,,,,,,,,,,,,,,,,"150,000.00",n/a,,,,,Niti&monting,20.05.15,,,"30,873.00",,,,,,,
,1+2,42,5,2,1,45,Miremb.e puseve dhe paisjeve dhe shpimi I puseve dhe montimi I  Loto II,,,,,,,,,,,,,,,,,,"120,000.00",n/a,,,,,Niti N & Caja,09.06.15,,,"108,000.00",,,,,,,
,1+2,42,5,2,1,45,Mirembajta e opuseve Loto I RITENDER,,,,,,,,,,,,,,,,,,,n/a,,,,,Niti - N,10.08.15,,,"12,000.00",,,,,,,
,1+2,43,1,2,1,36,Furn. me inventar dhe mjete tjera didaktike në Çerdhen Ngjyranë Hajvali,,,,,,,,,,,,,,,,,,"17,000.00",n/a,,,,,Mali,02.06.15,,,"6,543.50",,,,,,,
,1+2,44,5,2,1,45,Rikonstruimi I nyjeve Sanitare ne disa shkolla te Prishtines,,,,,,,,,,,,,,,,,,"150,000.00",n/a,,,,,Ulpiana,19.05.15,,,"96,865.00",,,,,,,
,1,46,2,3,6,93,Audit.fin.I pr.drejt Menaxhimit te qendreushme te Parku Germia finan.nga BE,,,,,,,,,,,,,,,,,,"2,000.00",n/a,,,,,Audit Chek,21.04.15,,,"1,190.00",,,,,,,
,1,47,2,2,1,65,Mirëmbajtja e semaf.invertorëve dhe paimeve akustike për të verbërit në Prishtinë ,,,,,,,,,,,,,,,,,,"60,000.00",n/a,,,,,Eko Invest,23.06.15,,,"59,795.00",,,,,,,
,1,48,1,3,6,28,Furnizimi me tepisona per shkollat Meto Bajraktari dhe Sami Frasheri,,,,,,,,,,,,,,,,,,"7,600.00",n/a,,,,,Gjini ,17.04.15,,,"7,554.40",,,,,,,
,1,49,2,3,6,29,Rreg. aftesimi I tri pikave te sist. te alar. publik egzistues me softwerin e ri ,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,MF Systems ,05.05.15,,,"9,655.00",,,,,,,
